Job Class,Percentage
Management,6.1,https://www.bls.gov/ooh/management/home.htm
Business and Financial operations,5,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm
Computer and Mathematical,2.7,https://www.bls.gov/oes/current/oes150000.htm
Architecture and Engineering,1.7,https://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",0.9,https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,https://www.bls.gov/ooh/community-and-social-service/home.htm#:~:text=The%20median%20annual%20wage%20for,for%20all%20occupations%20of%20%2441%2C950.
Legal,0.8,https://www.bls.gov/ooh/legal/lawyers.htm
"Education, training and library",6.1,https://www.schools.nyc.gov/careers/job-opportunities
"Arts, design, entertainment, sports and media",1.7,https://www.topuniversities.com/student-info/careers-advice/what-can-you-do-art-degree
Healthcare practioners and technical,5.5,https://www.trinityhealthma.org/careers/
Healthcare support,2.8,https://joinhandshake.com/blog/students/tag/healthcare-practitioners-and-technical-job-roles/
Protective service,2.3,https://www.bls.gov/ooh/protective-service/home.htm
Food preparation and serving,8.3,https://www.goodfoodjobs.com/
Building and grounds cleaning and maintenance,3.7,https://www.indeed.com/q-Building-Maintenance-l-New-York,-NY-jobs.html
Personal care and service,4,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,10.2,https://www.bls.gov/ooh/sales/home.htm#:~:text=Employment%20in%20sales%20and%20related,jobs%20from%202020%20to%202030.&text=The%20median%20annual%20wage%20for,for%20all%20occupations%20of%20%2441%2C950.
Office and administrative support,15.1,https://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://www.bls.gov/ooh/construction-and-extraction/home.htm
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,https://www.bls.gov/ooh/production/home.htm
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8